Id,UniqueID,Item Name,Description,Owner,Size (if applicable),Container space available (if applicable),Category,Type
32,CleaningSupplies2,Black crate,Black crate with wheels filled with supplies,Marine Mammals,XXL,0,Necropsy,Durable
33,Clinometer1,Clinometer,Clinometer,Marine Mammals,,,Survey Gear,Durable
34,Clipboard1,Clipboard,Wooden clipboard,Marine Mammals,,,Necropsy,Durable
35,Clips1,Clips,Plastic bag clips,Marine Mammals,,,Necropsy,Durable
36,Cloths1,Cleaning cloth,All purpose cleaning cloth,Marine Mammals,,,Necropsy,Consumable
37,Cooler1,Cooler,"Blue cooler with wheels, empty",Marine Mammals,Large,100,Necropsy,Durable
38,Cooler2,Cooler,"Blue cooler no wheels, empty",Marine Mammals,Large,100,Necropsy,Durable
39,Cooler3,Cooler,"Green cooler no wheels, empty",Marine Mammals,XL,100,Necropsy,Durable
40,Cooler4,Cooler,"Blue with wheels, empty",Marine Mammals,XXL,100,Necropsy,Durable
41,Cooler5,Cooler,"Blue with wheels, ice packs",Mikio?,XL,100,Necropsy,Durable
42,CuttingBoard1,Cutting board,Cutting board,Marine Mammals,,,Necropsy,Durable
43,DBattery1,D Battery,Duracell D Battery,Marine Mammals,,,Survey Gear,Consumable
44,Degreaser1,Degreaser liquid,Blue cleaner degreaser for knives,Marine Mammals,4L,,Necropsy,Consumable
45,DigitalCamera1,Digital Camera,Sony RX-10 digital SLR in hard case,Marine Mammals,,,Survey Gear,Durable
46,DigitalWatch1,Digital Watch,Digital Watch,Marine Mammals,,,Survey Gear,Durable
47,DishSoap1,Dish soap,Green works dish soap,Marine Mammals,,,Necropsy,Consumable
48,DryBackpack1,Dry Backpack,Green dry backpack,Marine Mammals,,,Survey Gear,Durable
49,DryDuffleBag1,Dry duffle bag,Red dry duffle bag,Marine Mammals,m,,Survey Gear,Durable
50,DuctTape1,Duct Tape,Duct Tape,Marine Mammals,,,Necropsy,Durable
51,EarPlugs1,Ear Plugs,Soft Ear Plugs,Marine Mammals,,,Survey Gear,Consumable
52,EarProtector1,Ear Protector,Ear muff style ear protector,Marine Mammals,,,Necropsy,Durable
53,ElectricalTape1,Electrical Tape,Electrical Tape,Marine Mammals,,,Necropsy,Consumable
54,EyeglassCleaner1,Eyeglass cleaner,Bottle of eyeglass cleaner,Marine Mammals,250ml,,Necropsy,Consumable
55,EyeWash1,Eye Wash,single use eye wash,Marine Mammals,,,Necropsy,Consumable
56,FabricSoftener1,Fabric softener,Fabric softener sheets,Marine Mammals,,,Necropsy,Consumable
57,FaceShield1,Face Shield,Face Shield,Marine Mammals,,,Necropsy,Durable
58,FacialTissue1,Facial tissues,Box of kleenex,Marine Mammals,,,Necropsy,Consumable
59,FirstAidKit1,First aid kit,All purpose first aid kit,Marine Mammals,small,,Necropsy,Consumable
60,FirstAidKit2,First aid kit,All purpose first aid kit,Marine Mammals,large,,Necropsy,Consumable
61,FirstAidSupplies1,Blue rubbermaid,Blue rubbermaid with first aid supplies,Marine Mammals,medium,40,Necropsy,Durable
62,FirstAidSupplies2,Black crate,Black crate no wheels filled with supplies,Marine Mammals,large,5,Necropsy,Durable
63,FlashDrive32GB,Flash Drive,32GB Flash Drive,Marine Mammals,32gb,,Survey Gear,Durable
64,Flashlight1,Flashlight,Heavy Duty flashlight,Marine Mammals,,,Necropsy,Durable
65,FlightSuit1,Flight Suit,Blue Flight Suit,Marine Mammals,8,,Survey Gear,Durable
66,FoamPad,Foam pad,Pink foam pad for kneeling,Mikio?,,,Necropsy,Durable
67,GarbageBags1,Garbage bags,White garbage bags,Marine Mammals,XL,,Necropsy,Consumable
68,GarbageBags2,Garbage bags,Black garbage bags,Marine Mammals,,,Necropsy,Consumable
69,Gloves1,Lab gloves,Box of Dura flock gloves (50pk),Marine Mammals,XS,,Necropsy,Consumable
70,Gloves10,Work gloves,HyFlex work gloves ,Marine Mammals,8,,Necropsy,Consumable
