"VESSEL_CODE"	"NAME"	"VESSEL_ID"
"#2B 1030"	"#2B 1030"	
"#32016"	"#32016"	
"#33642"	"#33642"	
"'TI GERRY"	"'TI GERRY"	
"( NO NAME )  ?"	"( NO NAME )  ?"	
"150286"	"SIR JAMES 1C1219"	"150286"
"150291"	"1C1229"	"150291"
"150292"	"7C1494"	"150292"
"150293"	"CUDDLES M"	"150293"
"150294"	"ROSAIRE R"	"150294"
"150295"	"DAWN MIST"	"150295"
"150296"	"1A1623"	"150296"
"150297"	"KALESS 6C4691"	"150297"
"150298"	"6C4695"	"150298"
"150299"	"ANDRE F"	"150299"
"150300"	"LOUISE B 11"	"150300"
"150301"	"JULIA JULES"	"150301"
"150303"	"JEREMY JACOB 6C4694"	"150303"
"150304"	"SAND DOLLAR"	"150304"
"150305"	"BOUND TO BE"	"150305"
"150306"	"6C4698"	"150306"
"150307"	"RACHELLE L."	"150307"
"150310"	"MARIE LESLIE"	"150310"
"150311"	"NORMA R"	"150311"
"150312"	"ANICA & ERICA"	"150312"
"150313"	"SYDNEY B"	"150313"
"150314"	"YELLOW ROSE"	"150314"
"150316"	"O.L.Y."	"150316"
"150320"	"ROBERT DION"	"150320"
"150323"	"150323"	
"150324"	"6C2929"	"150324"
"150325"	"R.E.L. 6C4714"	"150325"
"150326"	"ROMONA"	"150326"
"150329"	"PAULINA NO I 2B3806"	"150329"
"150333"	"VOYAGER IV"	"150333"
"150337"	"HARBOUR PRIDE NO. 1"	"150337"
"150339"	"6C4727"	"150339"
"150340"	"6C4729"	"150340"
"150341"	"6C4730"	"150341"
"150343"	"6C4739"	"150343"
"150344"	"LADY DANY"	"150344"
"150347"	"1C1237"	"150347"
"150348"	"LADY CELINE"	"150348"
"150349"	"REJEAN N"	"150349"
"150352"	"6C4746"	"150352"
"150353"	"C02662NB"	"150353"
"150354"	"MARTIN BRUNO"	"150354"
"150355"		"150355"
"150357"	"J.E.L."	"150357"
"150358"	"1C1238"	"150358"
"150359"	"SOUTHERN COMFORT #I"	"150359"
"150360"	"6C4741"	"150360"
"150363"	"COVE ROVER TOO"	"150363"
"150364"	"KAREN C II"	"150364"
"150365"	"M.A.G."	"150365"
"150366"	"CYNTHIA R"	"150366"
"150367"	"JEANNIE'S PRIDE"	"150367"
"150368"	"ANNE SHIRL"	"150368"
"150369"	"DAD'S PAD"	"150369"
"150370"	"LYNE L 11 6C4751"	"150370"
"150371"	"GABI 6C4749"	"150371"
"150374"	"SAVAGE BELLE"	"150374"
"150376"	"1A1628"	"150376"
"150377"	"FAIRFIELD LADY"	"150377"
"150378"	"R.R.K. II"	"150378"
"150379"	"ELISE"	"150379"
"150381"	"CARLINDA"	"150381"
"150382"	"JASON M"	"150382"
"150383"	"SHAWNA MAY"	"150383"
"150384"	"CELINE MELODIE I"	"150384"
"150385"	"SILVER DUSTER"	"150385"
